Frame,Track ID,License Plate,Score
225,1,ILD48FC,0.03759360013284158
233,1,PIWALGE,0.0929640389697138
258,1,WBALUBI,0.017344797248290276
262,1,ULGTIUS,0.1328903809607283
452,2,LDCKJER,0.12492203776065071
463,2,NBU7EAP,0.015679977218168627
466,2,00DXIE1,0.023431090370749245
473,2,KBORGEP,0.03733369507739245
479,2,KIBO5E4,0.04134901789399705
482,2,KUOKIAN,0.08300944111011911
483,2,VBOXDEW,0.21708998221450015
494,2,JBBKEER,0.013297943601206086
538,3,1490067,0.05542983193074905
545,3,7709802,0.054031502841016
548,3,DB90102,0.07355695288054594
550,3,7090102,0.11446129141379567
552,3,0990102,0.09389749297642982
554,3,NBQPEDZ,0.10456004307001787
562,3,OE9EEUZ,0.03522805543065397
564,3,C2E0DOZ,0.04118314490564675
565,3,LQB2E1Z,0.06315232267185805
571,3,IEPNE42,0.27961647840024584
577,3,IQEI9EL,0.03636858445272626
